Sample in Buffer,Sample in Window,TRIGGER,zsys_i/system_ila_0/U0/probe0_1[15:0],user_probe_0[15:0],zsys_i/system_ila_0/U0/probe1_1[15:0],zsys_i/system_ila_0/U0/probe2_1,zsys_i/system_ila_0/U0/probe3_1[15:0],zsys_i/system_ila_0/U0/probe4_1[15:0],zsys_i/system_ila_0/U0/probe5_1,GL0,zsys_i/system_ila_0/U0/probe6_1[2:0],GL1,GL2,zsys_i/system_ila_0/U0/probe7_1,Monitor1[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tdata[63:0],Monitor2[15:0],Monitor3[15:0],Monitor4[15:0],zsys_i/system_ila_0/U0/net_slot_0_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_0_axis_tready,zsys_i/system_ila_0/U0/net_slot_0_axis_tlast,zsys_i/system_ila_0/U0/net_slot_1_axis_tdata[63:0],zsys_i/system_ila_0/U0/net_slot_1_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_1_axis_tready,zsys_i/system_ila_0/U0/net_slot_1_axis_tlast,zsys_i/system_ila_0/U0/net_slot_2_axis_tdata[31:0],zsys_i/system_ila_0/U0/net_slot_2_axis_tvalid,zsys_i/system_ila_0/U0/net_slot_2_axis_tready,zsys_i/system_ila_0/U0/net_slot_2_axis_tlast,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_start_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_done_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_idle_1,zsys_i/system_ila_0/U0/SLOT_3_ACC_HANDSHAKE_ready_1,T_Channel_(i1:s0)_(axis_monitor_0_m_axis)[2:0],T_Channel_(i1:s1)_(axis_AD7403_0_m_axis)[2:0],T_Channel_(i1:s2)_()[2:0]
10014,10014,0,fff9,fffd,fffd,0,0009,ffed,1,1,7,1,1,0,0005,0121000000020005,0002,0000,0121,0,1,0,7fff7fff002200f4,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10015,10015,0,fff7,fff1,fff1,0,000b,0008,1,1,7,1,1,0,0001,01210000000f0001,000f,0000,0121,0,1,0,7fff7fff002200f6,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10016,10016,0,fffb,fffb,fffb,0,ffe4,ffe6,1,1,7,1,1,0,0002,0121000000050002,0005,0000,0121,0,1,0,7fff7fff001000fc,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10017,10017,0,0001,fffc,fffc,0,0016,000a,1,0,0,0,0,0,fffd,012100000004fffd,0004,0000,0121,0,1,0,7fff7fff000400dc,0,1,0,00000000,0,0,0,0,0,1,0,"No Streams","No Streams","No Streams"
10018,10018,0,0000,0001,0001,0,0001,0015,1,0,0,0,0,0,0000,01210000ffff0000,ffff,0000,0121,0,1,0,7fff7fff001400e2,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10019,10019,0,fffa,fffb,fffb,0,ffef,ffde,1,1,7,1,1,0,0003,0121000000050003,0005,0000,0121,0,1,0,7fff7fff002800ec,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10020,10020,0,fff6,ffeb,ffeb,0,fffa,fffb,1,1,7,1,1,0,ffff,012100000015ffff,0015,0000,0121,0,1,0,7fff7fff001800ea,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10021,10021,0,fffe,fffb,fffb,0,0010,0004,1,1,7,1,1,0,ffff,012100000005ffff,0005,0000,0121,0,1,0,7fff7fff001000e8,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10022,10022,0,0007,0000,0000,0,ffff,ffe6,1,0,0,0,0,0,fffa,012100000000fffa,0000,0000,0121,0,1,0,7fff7fff001c00ee,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
10023,10023,0,ffff,fffe,fffe,0,fff4,0008,1,0,0,0,0,0,0000,0121000000020000,0002,0000,0121,0,1,0,7fff7fff002000f2,0,1,0,00000000,0,0,0,1,0,0,0,"No Streams","No Streams","No Streams"
